"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 13, 2018","171.65","171.67","172.53","170.76","2.61M","0.64%"
"Apr 16, 2018","175.08","172.22","175.70","171.72","2.20M","2.00%"
"Apr 17, 2018","174.38","176.82","177.81","174.28","2.26M","-0.40%"
"Apr 18, 2018","175.21","174.60","175.85","173.79","1.57M","0.48%"
"Apr 19, 2018","171.73","174.56","174.62","171.47","2.03M","-1.99%"
"Apr 20, 2018","169.94","172.08","172.55","169.63","2.99M","-1.04%"
"Apr 23, 2018","172.35","170.40","173.86","170.25","2.38M","1.42%"
"Apr 24, 2018","171.29","172.44","173.44","170.24","2.02M","-0.62%"
"Apr 25, 2018","171.70","171.68","172.38","168.86","1.38M","0.24%"
"Apr 26, 2018","172.15","171.64","173.05","170.70","1.25M","0.26%"
"Apr 27, 2018","173.95","172.23","174.98","172.18","1.49M","1.05%"
"Apr 30, 2018","171.82","174.00","174.75","171.77","1.49M","-1.22%"
"May 01, 2018","171.07","172.01","172.97","170.80","1.95M","-0.44%"
"May 02, 2018","172.36","170.63","173.61","169.41","2.18M","0.75%"
"May 03, 2018","172.88","172.73","174.00","166.25","3.12M","0.30%"
"May 04, 2018","171.17","172.75","173.46","170.19","1.85M","-0.99%"
"May 07, 2018","172.59","171.50","172.67","168.35","2.50M","0.83%"
"May 08, 2018","170.70","172.25","172.25","169.76","1.81M","-1.10%"
"May 09, 2018","169.58","170.57","170.78","168.79","2.83M","-0.66%"
"May 10, 2018","171.06","168.01","172.11","167.67","1.95M","0.87%"
"May 11, 2018","173.73","170.50","174.27","169.67","2.32M","1.56%"
"May 14, 2018","177.54","174.47","177.59","173.77","2.80M","2.19%"
"May 15, 2018","176.06","177.18","177.43","175.14","1.37M","-0.83%"
"May 16, 2018","177.15","176.16","177.35","174.88","1.49M","0.62%"
"May 17, 2018","178.91","177.65","179.99","176.69","1.59M","0.99%"
"May 18, 2018","178.07","178.86","179.58","177.98","1.06M","-0.47%"
"May 21, 2018","177.45","179.00","179.29","176.85","1.36M","-0.35%"
"May 22, 2018","177.24","177.66","178.35","177.05","1.26M","-0.12%"
"May 23, 2018","177.09","176.70","177.38","175.15","1.10M","-0.08%"
"May 24, 2018","175.85","177.35","177.38","174.78","1.43M","-0.70%"
"May 25, 2018","175.90","175.98","176.98","175.04","1.29M","0.03%"
"May 29, 2018","172.58","174.81","175.00","171.71","1.45M","-1.89%"
"May 30, 2018","173.32","172.60","173.97","171.34","1.39M","0.43%"
"May 31, 2018","169.37","173.69","173.69","169.11","2.02M","-2.28%"
"Jun 01, 2018","170.82","170.21","171.09","169.40","1.16M","0.86%"
"Jun 04, 2018","171.00","171.24","171.64","170.46","1.01M","0.11%"
"Jun 05, 2018","170.83","171.24","172.67","170.00","1.31M","-0.10%"
"Jun 06, 2018","174.93","174.00","175.81","172.50","2.68M","2.40%"
"Jun 07, 2018","177.11","175.23","177.89","175.04","1.46M","1.25%"
"Jun 08, 2018","177.81","177.05","178.04","176.09","1.67M","0.40%"
"Jun 11, 2018","180.95","178.41","182.10","177.99","1.91M","1.77%"
"Jun 12, 2018","178.82","180.58","181.62","178.52","1.50M","-1.18%"
"Jun 13, 2018","176.18","179.50","179.50","174.63","3.73M","-1.48%"
"Jun 14, 2018","175.33","176.93","177.45","174.55","2.24M","-0.48%"
"Jun 15, 2018","175.05","175.66","177.00","174.80","3.59M","-0.16%"
"Jun 18, 2018","173.93","174.54","175.34","173.14","1.59M","-0.64%"
"Jun 19, 2018","173.36","173.10","174.40","172.92","2.34M","-0.33%"
"Jun 20, 2018","175.72","173.79","176.04","173.79","1.42M","1.36%"
"Jun 21, 2018","175.00","175.28","176.09","172.64","1.98M","-0.41%"
"Jun 22, 2018","174.08","175.45","176.06","173.92","2.53M","-0.53%"
"Jun 25, 2018","173.85","174.06","175.99","172.35","1.81M","-0.13%"
"Jun 26, 2018","172.95","173.69","174.23","172.80","1.51M","-0.52%"
"Jun 27, 2018","172.81","172.12","174.98","172.00","1.82M","-0.08%"
"Jun 28, 2018","169.76","169.98","170.00","163.97","4.02M","-1.76%"
"Jun 29, 2018","169.95","170.40","171.06","169.90","1.91M","0.11%"
"Jul 02, 2018","169.03","169.47","169.47","166.88","1.40M","-0.54%"
"Jul 03, 2018","170.25","169.29","170.37","168.86","941.54K","0.72%"
"Jul 05, 2018","171.98","171.17","172.30","170.25","1.23M","1.02%"
"Jul 06, 2018","172.10","172.00","172.52","171.16","783.85K","0.07%"
"Jul 09, 2018","173.22","172.53","174.05","172.30","1.15M","0.65%"
"Jul 10, 2018","173.45","173.68","174.11","172.59","968.44K","0.13%"
"Jul 11, 2018","171.79","173.08","173.45","171.70","1.47M","-0.96%"
"Jul 12, 2018","172.96","172.08","173.85","171.10","2.20M","0.68%"
"Jul 13, 2018","173.09","172.44","173.74","172.43","700.38K","0.08%"
"Jul 16, 2018","172.35","173.09","173.30","172.27","1.45M","-0.43%"
"Jul 17, 2018","170.71","172.02","172.02","167.83","2.27M","-0.95%"
"Jul 18, 2018","177.75","170.81","179.48","170.72","5.41M","4.12%"
"Jul 19, 2018","175.90","177.93","178.71","174.25","3.49M","-1.04%"
"Jul 20, 2018","178.09","174.49","179.47","174.30","3.20M","1.25%"
"Jul 23, 2018","177.42","178.23","179.21","177.00","1.68M","-0.38%"
"Jul 24, 2018","176.43","177.47","178.96","175.79","1.51M","-0.56%"
"Jul 25, 2018","177.50","176.92","177.55","173.54","3.10M","0.61%"
"Jul 26, 2018","177.94","178.08","179.12","176.68","2.01M","0.25%"
"Jul 27, 2018","177.25","177.95","178.07","176.30","2.00M","-0.39%"
"Jul 30, 2018","176.80","177.18","178.14","175.70","1.74M","-0.25%"
"Jul 31, 2018","179.42","177.61","181.66","177.00","2.85M","1.48%"
"Aug 01, 2018","182.93","179.89","188.60","178.57","6.26M","1.96%"
"Aug 02, 2018","188.90","185.23","189.20","184.25","5.07M","3.26%"
"Aug 03, 2018","189.25","189.61","193.37","188.91","2.85M","0.19%"
"Aug 06, 2018","187.86","188.81","189.07","186.44","2.21M","-0.73%"
"Aug 07, 2018","188.27","188.91","190.35","187.00","3.64M","0.22%"
"Aug 08, 2018","189.46","188.67","190.30","186.03","5.73M","0.63%"
"Aug 09, 2018","185.42","190.03","190.30","184.92","2.98M","-2.13%"
"Aug 10, 2018","183.28","183.10","186.21","182.13","4.44M","-1.15%"
"Aug 13, 2018","181.76","183.40","183.81","180.13","2.09M","-0.83%"
"Aug 14, 2018","185.30","181.27","185.56","181.27","4.18M","1.95%"
"Aug 15, 2018","185.48","185.00","186.41","183.12","2.92M","0.10%"
"Aug 16, 2018","188.19","185.86","188.61","185.57","2.62M","1.46%"
"Aug 17, 2018","188.34","189.13","189.38","187.38","1.81M","0.08%"
"Aug 20, 2018","187.89","188.97","189.30","187.47","2.45M","-0.24%"
"Aug 21, 2018","186.05","187.34","187.55","185.75","2.63M","-0.98%"
"Aug 22, 2018","186.36","185.40","187.09","183.78","2.23M","0.17%"
"Aug 23, 2018","185.80","186.44","187.07","185.06","1.49M","-0.30%"
"Aug 24, 2018","185.72","185.86","186.87","184.94","2.27M","-0.04%"
"Aug 27, 2018","187.00","186.00","187.99","185.85","1.67M","0.69%"
"Aug 28, 2018","187.96","187.72","188.38","186.10","1.82M","0.51%"
"Aug 29, 2018","190.46","188.31","190.95","187.99","2.50M","1.33%"
"Aug 30, 2018","189.80","190.43","191.24","189.59","2.25M","-0.35%"
"Aug 31, 2018","188.34","189.22","189.57","187.76","1.81M","-0.77%"
"Sep 04, 2018","186.07","187.49","188.57","185.58","2.10M","-1.21%"
