Date,Price,Open,High,Low,Vol.,Change %
04/16/2018,71.99,71.83,73.11,71.5,5.86M,0.52%
04/17/2018,72.5,72.72,73.14,72.28,2.45M,0.71%
04/18/2018,74.74,72.72,75.05,72.52,3.80M,3.09%
04/19/2018,73.76,74.37,74.7,73.42,2.71M,-1.31%
04/20/2018,73.49,73.83,74.08,72.39,2.47M,-0.37%
04/23/2018,75.19,73.75,75.55,72.88,3.43M,2.31%
04/24/2018,75.49,75.63,76.33,74.79,2.41M,0.40%
04/25/2018,76.52,75.16,76.74,74.92,2.37M,1.36%
04/26/2018,76.71,76.66,77.33,76.09,2.44M,0.25%
04/27/2018,77.21,76.49,77.73,76.17,1.75M,0.65%
04/30/2018,75.7,77.43,77.49,75.37,3.63M,-1.96%
05/01/18,75.87,75.67,76.14,74.43,2.42M,0.22%
05/02/18,74.05,75.72,75.78,73.97,3.38M,-2.40%
05/03/18,72.2,72.98,73.89,71.51,5.01M,-2.50%
05/04/18,70.22,71.71,72.12,69.31,4.55M,-2.74%
05/07/18,69.69,69.7,71.44,68.95,5.17M,-0.75%
05/08/18,68.12,69.74,69.87,67.71,5.78M,-2.25%
05/09/18,68.63,68.37,69.34,67.05,4.78M,0.75%
05/10/18,70.96,68.9,71.39,68.9,3.81M,3.40%
05/11/18,72.8,70.83,73.78,67.85,5.79M,2.59%
05/14/2018,73.67,72.66,74.09,72.66,3.26M,1.20%
05/15/2018,73.24,73.33,73.77,72.77,4.82M,-0.58%
05/16/2018,73.73,73.44,74.05,73.1,1.66M,0.67%
05/17/2018,76.35,73.59,76.92,73.52,6.02M,3.55%
05/18/2018,75.65,76.81,76.83,75.36,3.76M,-0.92%
05/21/2018,76.52,75.85,76.61,75.77,4.73M,1.15%
05/22/2018,77.75,76.57,78.47,76.5,6.38M,1.61%
05/23/2018,77.01,77.11,77.69,76.33,2.18M,-0.95%
05/24/2018,76.8,77.11,77.11,75.69,1.49M,-0.27%
05/25/2018,77.08,76.67,77.47,76.59,1.83M,0.36%
05/29/2018,76.09,76.56,76.96,75.67,1.70M,-1.28%
05/30/2018,76.21,76.49,77.31,75.91,2.71M,0.16%
05/31/2018,75.81,76.34,77,75.17,3.32M,-0.52%
06/01/18,77.07,76.1,77.39,75.86,2.89M,1.66%
06/04/18,75.54,77.06,77.22,75.1,2.26M,-1.99%
06/05/18,74.87,74.97,75.83,74.4,2.67M,-0.89%
06/06/18,76.53,74.94,76.73,74.94,2.85M,2.22%
06/07/18,78.15,76.48,78.35,76.39,2.44M,2.12%
06/08/18,78.39,78,78.81,75.5,2.51M,0.31%
06/11/18,79.57,78.34,79.85,77.87,2.40M,1.51%
06/12/18,79.17,79.24,79.5,78.67,3.19M,-0.50%
06/13/2018,81.77,82.28,83.32,81.29,6.09M,3.28%
06/14/2018,82.24,82,82.47,81.21,2.12M,0.57%
06/15/2018,81.75,82.57,82.57,81.57,4.89M,-0.60%
06/18/2018,80.48,81.23,81.55,79.76,2.90M,-1.55%
06/19/2018,80.58,79.77,80.61,79.6,3.27M,0.12%
06/20/2018,80.1,80.62,80.76,79.91,2.19M,-0.60%
06/21/2018,79.36,79.92,80.28,78.99,3.30M,-0.92%
06/22/2018,79.23,79.8,79.98,78.77,4.29M,-0.16%
06/25/2018,79.24,78.96,79.83,78.48,2.07M,0.01%
06/26/2018,77.84,78.97,79.04,77.57,2.60M,-1.77%
06/27/2018,78.74,77.79,79.13,77.36,3.25M,1.16%
06/28/2018,77.62,76.43,77.76,75.01,4.48M,-1.42%
06/29/2018,77.21,77.49,78.48,77.01,2.22M,-0.53%
07/02/18,77.99,77.05,78.06,76.82,1.63M,1.01%
07/03/18,79.91,78.5,79.96,77.94,1.59M,2.46%
07/05/18,79.96,80,80.16,79.44,3.06M,0.06%
07/06/18,80.07,80.25,80.69,79.86,1.78M,0.14%
07/09/18,79.63,80.15,80.64,79.45,2.21M,-0.55%
07/10/18,80.56,79.91,80.65,79.5,1.53M,1.17%
07/11/18,80.57,80.26,80.81,79.18,1.50M,0.01%
07/12/18,81.61,80.87,82.79,80.02,4.21M,1.29%
07/13/2018,81.48,81.65,81.99,81.17,1.29M,-0.16%
07/16/2018,80.93,81.27,81.44,80.5,1.98M,-0.68%
07/17/2018,79.88,80.74,80.97,79.75,2.65M,-1.30%
07/18/2018,77.89,79.49,80.38,77.79,6.28M,-2.49%
07/19/2018,76.73,77.51,77.68,75.4,6.12M,-1.49%
07/20/2018,77.56,76.11,77.81,75.91,4.69M,1.08%
07/23/2018,79.42,77.34,80.01,76.89,2.83M,2.40%
07/24/2018,79.39,79.37,80.57,78.79,2.29M,-0.04%
07/25/2018,78.75,79.16,79.54,78.61,2.40M,-0.81%
07/26/2018,79.48,79.36,80.29,79,2.37M,0.93%
07/27/2018,79.45,79.16,79.92,78.26,1.76M,-0.04%
07/30/2018,79.78,79.41,80.64,78.68,2.19M,0.42%
07/31/2018,79.46,79.75,80.71,79.13,2.66M,-0.40%
08/01/18,74.44,79.2,80.34,72,12.46M,-6.32%
08/02/18,77.98,75.34,78.86,75.11,8.14M,4.76%
08/03/18,77.52,78.39,78.8,77.48,2.93M,-0.59%
08/06/18,76.83,77.14,77.89,76,3.36M,-0.89%
08/07/18,78.95,76.35,79.04,76.01,4.23M,2.76%
08/08/18,78.88,79.17,80.69,75.89,12.23M,-0.09%
08/09/18,81.82,79.16,82.29,78.31,8.23M,3.73%
08/10/18,83.64,83.06,85.42,82.76,8.14M,2.22%
08/13/2018,84.02,83.61,84.34,83.58,4.55M,0.45%
08/14/2018,86,84.67,86.07,84.34,6.72M,2.36%
08/15/2018,86.65,85.5,86.86,85.03,5.13M,0.76%
